ticker_symbol,company_name,company_name_ar,sector_id,description,description_ar,risk_level,risk_level_ar
EGX:COMI,Commercial International Bank - Egypt (CIB) S.A.E.,البنك التجاري الدولي – مصر (CIB),1,"Egyptï¿½s leading private-sector bank, providing a full range of financial products to enterprises, institutions, households, and individuals.","البنك التجاري الدولي – مصر (CIB): البنك الخاص الرائد في مصر، يقدم مجموعة متكاملة من الخدمات والمنتجات المالية للشركات والمؤسسات والأفراد.",Low,منخفض
EGX:SWDY,El Sewedy Electric Company,شركة السويدي إليكتريك,8,"A global leader in integrated energy, infrastructure, and digital solutions, specializing in electrical cables, transformers, and renewable energy projects.","السويدي إليكتريك: شركة عالمية رائدة في حلول الطاقة والبنية التحتية والحلول الرقمية، متخصصة في الكابلات الكهربائية والمحولات ومشروعات الطاقة المتجددة.",Low,منخفض
EGX:EAST,Eastern Company,الشركة الشرقية (إيسترن كومباني),5,"A major international business offering a wide range of tobacco products, including cigarettes, cigars, molasses, and pipe tobacco.",الشركة الشرقية (إيسترن كومباني): شركة عالمية كبرى متخصصة في إنتاج مجموعة واسعة من منتجات التبغ مثل السجائر والسيجار والمعسل وتبغ الغليون.,Low,منخفض
EGX:JUFO,Juhayna Food Industries,شركة جهينة للصناعات الغذائية,5,"A leading Egypt-based manufacturer specialized in the production, processing, and packaging of dairy, juice, and cooking products.",جهينة للصناعات الغذائية: شركة مصرية رائدة في تصنيع ومعالجة وتعبئة منتجات الألبان والعصائر والزيوت.,Low,منخفض
EGX:ABUK,Abou Kir Fertilizers & Chemical Industries,شركة أبو قير للأسمدة والصناعات الكيماوية,2,"A major producer adhering to global quality standards (ISO 9001, ISO 14001) and fostering socio-economic development aligned with Egyptï¿½s Vision 2030.","أبو قير للأسمدة والصناعات الكيماوية: شركة كبرى تلتزم بمعايير الجودة العالمية (ISO 9001 وISO 14001)، وتسهم في التنمية الاقتصادية والاجتماعية بما يتماشى مع رؤية مصر 2030.",Low,منخفض
EGX:EXPA,Export Development Bank of Egypt,بنك تنمية الصادرات المصري,1,A specialized financial institution focused on promoting Egyptian exports and providing comprehensive banking solutions to exporters and corporate clients.,بنك تنمية الصادرات المصري: مؤسسة مالية متخصصة في دعم الصادرات المصرية وتقديم خدمات مصرفية متكاملة للمصدرين والشركات.,Low,منخفض
EGX:ORWE,Oriental Weavers Carpet,شركة النساجون الشرقيون للسجاد,11,"The worldï¿½s largest manufacturer of machine-made carpets and rugs, exporting the majority of its production to over 130 countries.","النساجون الشرقيون للسجاد: أكبر شركة في العالم لإنتاج السجاد والموكيت المصنوع آليًا، وتصدر معظم إنتاجها لأكثر من 130 دولة.",Low,منخفض
EGX:ETEL,Telecom Egypt,الشركة المصرية للاتصالات,7,Egyptï¿½s first integrated telecommunications operator and the nationï¿½s primary provider of fixed-line and wholesale connectivity services.,"المصرية للاتصالات: أول مشغل اتصالات متكامل في مصر، والمزود الرئيسي لخدمات الخط الأرضي والبنية التحتية للاتصالات.",Low,منخفض
EGX:EKHOA,Valmore Holding S.A.E,شركة فالمور القابضة,9,"A leading diversified investment group with a vast regional portfolio spanning energy (natural gas distribution), fertilizers, petrochemicals, and specialized non-banking financial services.","فالمور القابضة: مجموعة استثمارية متنوعة تعمل في الطاقة (توزيع الغاز الطبيعي)، والأسمدة، والبتروكيماويات، والخدمات المالية غير المصرفية.",Low,منخفض
EGX:AMOC,Alexandria Mineral Oils Co.,شركة الإسكندرية للزيوت المعدنية (أموك),4,A growth-focused organization delivering high-quality petroleum products while supporting the sustainability objectives of Egyptï¿½s oil and gas modernization plan.,الإسكندرية للزيوت المعدنية (أموك): شركة متخصصة في إنتاج منتجات بترولية عالية الجودة تدعم خطط تطوير قطاع البترول في مصر.,Low,منخفض
