question_id,option_number,option_text,option_text_ar,weight
1,1,No income,لا يوجد دخل,0
1,2,Irregular income,دخل غير منتظم,0.25
1,3,Regular but unguaranteed income,دخل منتظم لكنه غير مضمون,0.5
1,4,Stable monthly income,دخل شهري مستقر,0.75
1,5,Very stable income,دخل مستقر جدًا,1
2,1,< 1 month,أقل من شهر,0
2,2,1–3 months,1–3 أشهر,0.25
2,3,3–6 months,3–6 أشهر,0.5
2,4,6–12 months,6–12 شهر,0.75
2,5,> 12 months,أكثر من 12 شهر,1
3,1,Heavy,عبء ثقيل,0
3,2,\,\,0.25
3,3,Moderate,متوسط,0.5
3,4,\,\,0.75
3,5,None,لا يوجد,1
4,1,Very likely,محتمل جدًا,0
4,2,\,\,0.25
4,3,Not sure,غير متأكد,0.5
4,4,\,\,0.75
4,5,Very unlikely,غير محتمل اطلاقا,1
5,1,Zero risk,لا يوجد مخاطرة,0
5,2,\,\,0.17
5,3,\,\,0.33
5,4,Average,متوسط,0.5
5,5,\,\,0.67
5,6,\,\,0.83
5,7,Highest risk,أعلى مخاطرة,1
6,1,Sell immediately,سوف ابيع السهم فورًا,0
6,2,Monitor,سوف اراقب السهم,0.25
6,3,Wait,سوف انتظار,0.5
6,4,Observe,ملاحظة,0.75
6,5,Long-term,استثمار طويل الأجل,1
7,1,Losing money,خسارة المال,0
7,2,Uncertainty,عدم يقين,0.33
7,3,Making money,تحقيق أرباح,0.67
7,4,High profit,أرباح عالية,1
8,1,Never,أبدًا,0
8,2,\,\,0.25
8,3,Don't mind,لا أمانع,0.5
8,4,\,\,0.75
8,5,Definitely,بالتأكيد,1
9,1,Security small,أمان (زيادة صغيرة),0
9,2,\,\,0.25
9,3,Unsure,غير متأكد,0.5
9,4,\,\,0.75
9,5,Risk large,مخاطرة (زيادة كبيرة),1
10,1,The losses,دائمًا خسائر,0
10,2,The gains,غالبًا خسائر,1
11,1,Very pessimistic,متشائم جدًا,0
11,2,\,\,0.25
11,3,Neutral ,محايد,0.5
11,4,\,\,0.75
11,5,Very optimistic,متفائل جدًا,1
12,1,All salary,كل الراتب,0
12,2,Mostly salary,أغلبه راتب,0.25
12,3,Mix,مزيج,0.5
12,4,Mostly commission,أغلبه عمولات,0.75
12,5,All commission,كلّه عمولات,1
13,1,Very small,صغير جدًا,0
13,2,\,\,0.25
13,3,Medium,متوسط,0.5
13,4,\,\,0.75
13,5,Very large,كبير جدًا,1
14,1,Very small,صغير جدًا,0
14,2,\,\,0.25
14,3,Medium,متوسط,0.5
14,4,\,\,0.75
14,5,Very large,كبير جدًا,1
15,1,Very unlikely,غير محتمل جدًا,0
15,2,\,\,0.33
15,3,Neutral ,,0.67
15,4,\,\,1
15,5,Very Likely,محتمل جدًا,
16,1,None,لا شيء,0
16,2,Little,قليل,0.25
16,3,Reasonable,معقول,0.5
16,4,Great,كبير,0.75
16,5,Complete,كامل,1
17,1,Definitely not,بالتأكيد لا,0
17,2,\,\,0.25
17,3,Not sure,غير متأكد,0.5
17,4,\,\,0.75
17,5,Definitely,بالتأكيد,1
18,1,Any loss,أي خسارة,0
18,2,\,\,0.2
18,3,\,\,0.4
18,4,33%,33%,0.6
18,5,\,\,0.8
18,6,>50%,أكثر من 50%,1
19,1,No fall,لا يوجد انخفاض,0
19,2,Less fall,انخفاض بسيط,0.33
19,3,Inflation,يواكب التضخم,0.67
19,4,Exceed,يتفوق على التضخم,1
20,1,Always lower,دائمًا أقل,0
20,2,\,\,0.25
20,3,No change,لا تغيير,0.5
20,4,\,\,0.75
20,5,Always higher,دائمًا أعلى,1
21,1,0%,0%,0
21,2,\,\,0.1
21,3,\,\,0.2
21,4,\,\,0.3
21,5,\,\,0.4
21,6,50%,50%,0.5
21,7,\,\,0.6
21,8,\,\,0.7
21,9,\,\,0.8
21,10,\,\,0.9
21,11,100%,100%,1
